Name,Dealer,Mileage,Rating,Rating Count,Price,Stock Type
2019 Toyota RAV4 XLE,Rochester Toyota,37212 ,4.8,439 ,32399,Toyota Certified
2017 Ford F-150 Lariat,Rouen Chrysler Jeep Dodge Ram,86978 ,4.6,172 ,37997,Used
2019 Toyota 4Runner Limited,Toyota of Boardman,37489 ,4.8,773 ,44990,Toyota Certified
2018 Porsche 718 Cayman Base,Porsche Hilton Head,13040 ,4.7,42 ,69984,Used
2017 Volkswagen Tiguan 2.0T S,Volvo Village of Danvers,67713 ,4.5,125 ,19000,Used
2017 INFINITI QX80 Limited,Pierre Chevrolet,81332 ,4.2,251 ,39991,Used
2020 GMC Yukon SLT,Mandal Buick GMC Inc.,54931 ,4.0,41 ,57500,Used
2021 Cadillac Escalade Premium Luxury,Big Star Cadillac,14242 ,n/a,0 ,119995,Cadillac Certified
2019 Audi A7 3.0T Premium Plus,BMW of Rockville,13177 ,4.6,21 ,61990,Used
2018 Ford F-150 XLT,Ron Marhofer Chevrolet,42973 ,4.5,156 ,38490,Used
2013 Ford Escape SEL,Bergstrom Imports of Oshkosh,31008 ,4.8,765 ,16998,Used
2015 Honda Pilot EX-L,Hollingsworth Auto Sales of Raleigh,103515 ,4.7,31 ,22990,Used
2008 Lexus LX 570 ,Ideal Auto,73787 ,4.1,14 ,31988,Used
2019 Lexus RX 350 350,MotorWorld Pre-Owned,24639 ,4.7,"1,694 ",44100,Used
2017 Audi A4 Premium Plus,CARite of Windsor Locks,57495 ,4.6,163 ,29486,Used
2016 Toyota Avalon Touring,AutoNation Subaru Scottsdale,11519 ,4.7,618 ,27995,Used
2020 Mazda CX-5 Touring,Russ Darrow Mazda of Greenfield,14449 ,4.5,662 ,30356,Used
2018 BMW X5 xDrive35d,INFINITI of Lynnwood,33305 ,4.4,148 ,51888,Used
2007 BMW X5 4.8i,Mercedes-Benz of Greenwich,64862 ,4.1,78 ,11995,Used
2015 Mazda CX-9 Grand Touring,Auto Boutique Texas,83536 ,4.2,143 ,14900,Used
2017 Honda Accord EX-L,Scholfield Honda,24641 ,3.8,52 ,27991,Used
2017 Toyota Corolla LE,Off Lease Only Miami,22806 ,4.9,"20,710 ",16749,Used
2019 Honda Pilot EX-L,Wolfchase Toyota,32870 ,4.4,277 ,38004,Used
2017 Porsche Macan GTS,Porsche Monmouth,40950 ,5.0,42 ,59900,Porsche Certified
2018 GMC Sierra 1500 Denali,Nimnicht Buick GMC,46496 ,4.9,"2,125 ",45654,Used
2020 Chevrolet Traverse LS,Advantage Chevrolet,32011 ,4.6,"2,507 ",33098,Chevrolet Certified
2012 Audi Q7 3.0T Premium,Reedman-Toll Chrysler Dodge Jeep Ram of Jenkintown,64376 ,4.2,150 ,19788,Used
2016 Porsche Cayenne GTS,Imperial Highline,56473 ,4.1,9 ,56995,Used
